,Unnamed: 0,timestamp,tweet_text,followers_count
77,77.0,2020-09-23 20:43:36,"b""$NKE 1.20 to 10.00 yeah  Solid earnings call we proposed on Monday in such a choppy environment.  It's all about how you plan your position. One of the calls could have been easily on house money if you took 5 lot  $AAPL $SPY $TSLA $Z $ROKU $PTON $FB $AMZN $NKLA $ZM $BYND $TWTR https://t.co/ngsd9jch00""",1096
78,78.0,2020-09-23 20:41:46,b'Recap:  $GLD down more than 2% $TLT struggled to finish flat $SPY plunged 2.2% $ZM to new highs  $NKE +8.2%  $TSLA - 11% $NKLA lost a quarter of its value.',15712
79,79.0,2020-09-23 20:41:04,b'$NKE $VALE $DOCU $SPY $SHOP $TQQQ  Great job by the members of the community today  Nice discipline waiting for entries and exits  https://t.co/5dsflRQ4dY https://t.co/WjACETHJRM',3278
80,80.0,2020-09-23 20:40:26,b'New #coronavirus Cases Look To Be On The Rise Again  $tst $iep $ko $brk $ba $bhc $hlf $ibm $msft $crm $nke $mcd $fb $ge $gm $wmt $tgt $luv $btc $f $pg $amzn $aapl $hd $tsla $nflx $pfe $jnj $intc $gp $shak $ms $gs $jpm $bac $c $mnk $mnst $goog $fb uber https://t.co/kEFrkpShlO',130
81,81.0,2020-09-23 20:40:00,b'**One member sold some at 7000%. You need plays like this to grow your account with us.  Check out: https://t.co/4zHoyiIKbE  $NKE $MNOV $ACB $TWTR $JNJ $SLV $ROKU $ACIU $GIS $TORC $TSLA $GLD $CVNA $NNOX $FMCI $DTEA $BOXL $CDEV $MVIS $ADTX  $GEVO $AKBA $OCGN $FCEL $GNUS https://t.co/zdJLwNLV98',1
82,82.0,2020-09-23 20:37:57,"b""$ZM $NAOV $WKHS $NKE $SAVA $ROKU $TSLA $NKLA   Even though this market's largest one day runner was called early the $SPI did well but the $SPY didn't do well. The market continues to be extremely volatile, market still overvalued y... https://t.co/nDOVFKtLvo https://t.co/23v3tb717l""",10638
83,83.0,2020-09-23 20:37:11,b'Daily Wrap  Alerts $BIGC 77&gt;85.80\xf0\x9f\x92\xb8 $TWTR 44&gt;46.70 $CHWY 55&gt;57 $WORK Loser   Swings $OSTK 73&gt;82 (closed) $ZI 33/34&gt;36.70 $MRNS 12.50&gt;13.00&gt;12.00 Loser $AMWL 23&gt;30 $ARPO Bio  Others $ZM 500c\xf0\x9f\x92\xb0 $ROKU 200c\xf0\x9f\x92\xb8 $ZM 422&gt;520  Void $NKE   Discord  $NKLA sh25&gt;20.60  *All Timestamped',31944
84,84.0,2020-09-23 20:35:37,"b""$SPX Movers: $NKE leads a small list of big gains today behind their swooshin' earnings. To the downside, the Energy sector remains for sale above all other sectors as economic growth worries increase behind COVID 2nd waves and lack of a new stimulus package in D.C. $XLE https://t.co/9A7C03Lmyt""",8088
85,85.0,2020-09-23 20:35:08,b'Lg Cap All-Time High list = 17 stocks still heavily weighted toward COVID names but with $NKE running to the top behind very good earnings last night. https://t.co/aojZBGCAhY',8088
86,86.0,2020-09-23 20:34:27,"b'\xe2\x80\x9cThere\xe2\x80\x99s a whole digital pivot going on here,\xe2\x80\x9d says @kevinolearytv. \xe2\x80\x9cAll the companies that empower that continue to grow.\xe2\x80\x9d $DOCU $ZM $NKE $AMZN $AAPL  After record growth quarters and amid this current sell-off, Mr. Wonderful tells @OJRenick why he\xe2\x80\x99s still bullish tech:'",39610
87,87.0,2020-09-23 20:34:21,"b'Morning plan from @FireTrading_ has been posted!   $MNOV, $SFIX, $TWTR, $JNJ, $NKE   https://t.co/mHUZq5WXVU'",202
88,88.0,2020-09-23 20:33:25,"b'$NKE stock trading volume up by +244.86% | 29,698,308 vs 8,611,643  \r https://t.co/c8X2Mv9A3O'",4509
89,89.0,2020-09-23 20:33:10,b'$NKE is up 9% today following their latest earnings call - guess I hit this nail on the head \xf0\x9f\x94\xa5 https://t.co/wpcW5c4whe',5590
90,90.0,2020-09-23 20:32:00,b'Become a better trader with Us !! Gain knowledge and Profit . The best  Trading Chatroom for Day Trading and  Swing Trading .   Check Out  Here : https://t.co/9TuBjNvNDF \xf0\x9f\x8c\x88 $AKBA $OCGN $FCEL $GNUS $NKE $NAKD $AEZS $SESN $SPY $QQQ $AMZN $DKNG $TSLA $PENN $INO $NIO $OXY $WORK $SAVE https://t.co/Nzl7KFtS9O',351
91,91.0,2020-09-23 20:31:38,"b""$NKE $IBUY $AMZN - Is it the shoes? Online ETF stands out amid Nike's digital new normal https://t.co/9L4UIL7qRY https://t.co/bDr5qGgOGY""",671
92,92.0,2020-09-23 20:30:24,b'$NKE  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 2553',6465
