,date_time,ticker,headline,neg,neu,pos,compound
43,2020-09-23 10:45:00,NKE,"Nike, Johnson & Johnson share gains lead the way, but Dow flat",0.0,0.732,0.268,0.3182
44,2020-09-23 10:39:00,NKE,Nikes Strong Earnings Kick Off a Sector Rally,0.0,0.645,0.355,0.5106
45,2020-09-23 10:36:00,NKE,Nikes Earnings Were So Good Its Rivals Adidas and Puma Are Rising,0.0,0.775,0.225,0.4927
46,2020-09-23 10:22:00,NKE,Nike's stock rally keeping the Dow in positive territory,0.0,0.69,0.31,0.5574
47,2020-09-23 10:19:00,NKE,"US STOCKS-S&P 500, Nasdaq retreat as business activity dips",0.0,0.816,0.184,0.2023
48,2020-09-23 10:12:00,NKE,Nike's digital transformation 'is just getting started': UBS' Jay Sole,0.0,1.0,0.0,0.0
49,2020-09-23 10:04:00,NKE,Stock market is 'waiting for the next shoe to drop': Shawn Cruz,0.0,1.0,0.0,0.0
50,2020-09-23 09:59:00,NKE,"Dow Jones Today Jumps, Nasdaq Dips As Nike Rallies; J&J Vaccine Enters Phase 3",0.0,1.0,0.0,0.0
51,2020-09-23 09:56:00,NKE,"Nike Soars to Record After Sales, Profit Surge Past Projections",0.0,0.7559999999999999,0.244,0.4404
52,2020-09-23 09:52:00,NKE,Nike shares set for record high after digital sales power stellar results,0.0,0.833,0.16699999999999998,0.29600000000000004
53,2020-09-23 09:51:00,NKE,"Nike, General Mills beat earnings estimates, Walmart to hire 20K seasonal workers",0.0,1.0,0.0,0.0
54,2020-09-23 09:49:00,NKE,Nike Shares Soar To Record High As Digital Sales Surge Leads Q1 Earnings Beat,0.0,0.855,0.145,0.29600000000000004
55,2020-09-23 09:45:00,NKE,"Nike, Boeing share gains contribute to Dow's 135-point climb",0.0,0.603,0.397,0.5574
56,2020-09-23 09:40:00,NKE,Nike Shares Just Hit an All-Time High: Inside the Quarter That Surprised Investors in the Best Possible Way,0.0,0.644,0.35600000000000004,0.8074
57,2020-09-23 09:33:00,NKE,Dow rises over 100 points as stocks continue rebound from selloff,0.0,1.0,0.0,0.0
58,2020-09-23 08:49:00,NKE,"Dow Futures Gain, Nike Soars To Record Peak, As Global Markets Rebound Despite Coronavirus Spike",0.0,0.805,0.195,0.5267
59,2020-09-23 08:36:00,NKE,2 key numbers show how quickly Nike is bouncing back from the pandemic,0.0,1.0,0.0,0.0
60,2020-09-23 08:31:00,NKE,"US STOCKS-Nike set to lift S&P 500, Dow ahead of business activity data",0.0,1.0,0.0,0.0
61,2020-09-23 08:19:00,NKE,"Nike Stock Is Soaring. Yes, Its Earnings Were That Good.",0.0,0.588,0.412,0.6808
