,date_time,ticker,headline,neg,neu,pos,compound,Unnamed: 0
66,2020-09-21 10:09:00,NFLX,"Nikola's Trevor Milton steps down amid fraud claims, tech stocks extend several weeks' worth of declines",0.18600000000000005,0.637,0.17600000000000002,-0.29600000000000004,
67,2020-09-21 10:05:00,NFLX,Netflix Will Survive the 'Cuties' Cancellations,0.0,1.0,0.0,0.0,
68,2020-09-21 09:55:00,NFLX,"Ad-Supported Streaming Is About to Dent Subscription Streaming, and Crush Cable",0.138,0.862,0.0,-0.1531,
69,2020-09-21 03:22:00,NFLX,"'Schitt's Creek' Sweeps The 'Pand-Emmys,' Buoyed By Netflix Success",0.0,0.684,0.316,0.5719,
70,2020-09-20 23:47:00,NFLX,"HBO conquers TV's Emmy Awards, Apple nabs first trophy",0.0,0.727,0.273,0.4588,
71,2020-09-20 08:24:00,NFLX,Paying too much for your cable bill? Here's how to save.,0.0,0.758,0.242,0.4939,
72,2020-09-19 09:22:00,NFLX,"Stock market news live updates: Tech rout drags Nasdaq, S&P 500 to lowest in at least 6 weeks; Dow slides nearly 1%",0.185,0.815,0.0,-0.5106,
73,2020-09-19 07:43:00,NFLX,"Netflix cancellations surge 'materially' in the wake of 'Cuties' controversy, data shows",0.0,1.0,0.0,0.0,
74,2020-09-18 17:45:00,NFLX,Netflix (NFLX) Stock Moves -0.05%: What You Should Know,0.0,1.0,0.0,0.0,
75,2020-09-18 17:31:00,NFLX,'Nasdaq whale' closes more large options trades,0.0,1.0,0.0,0.0,
76,2020-09-18 17:18:00,NFLX,Lowe's Initiative for Small Businesses,0.0,1.0,0.0,0.0,
77,2020-09-18 16:25:00,NFLX,"Apple, Microsoft, FANG Stocks Downgraded Amid Tech Sell-Off",0.0,1.0,0.0,0.0,
78,2020-09-18 16:25:00,NFLX,Netflix Inc. stock outperforms competitors despite losses on the day,0.0,0.799,0.201,0.3089,
79,2020-09-18 16:14:00,NFLX,"Market Recap: Friday, September 18",0.0,1.0,0.0,0.0,
80,2020-09-18 14:59:00,NFLX,Container Store's Stock Is Getting A Netflix 'Home Edit' Boost,0.0,0.748,0.252,0.4019,
81,2020-09-18 13:40:00,NFLX,Stocks slide amid quadruple witching day,0.0,1.0,0.0,0.0,
82,2020-09-18 12:46:00,NFLX,'They used my picture and I should've got paid for it',0.0,1.0,0.0,0.0,
83,2020-09-18 10:27:00,NFLX,US STOCKS-Nasdaq inches higher after two-day tech slump,0.0,1.0,0.0,0.0,
84,2020-09-18 10:00:00,NFLX,3 Ways to Silence Any Peloton Bear Argument,0.294,0.706,0.0,-0.3612,
85,2020-09-17 16:25:00,NFLX,"Netflix Inc. stock falls Thursday, underperforms market",0.0,1.0,0.0,0.0,
86,2020-09-17 15:25:00,NFLX,AVOD Is Starting to Take a Bite Out of Subscription Services Like Netflix and Disney's Hulu,0.0,0.848,0.152,0.3612,
87,2020-09-17 14:38:00,NFLX,Is It Time to Change Channels on Netflix?,0.0,1.0,0.0,0.0,
88,2020-09-17 13:18:00,NFLX,US STOCKS-Tech sell-off hits Wall St as jobless claims remain elevated,0.0,1.0,0.0,0.0,
